"","species_name","NCBI","NWFSC","ABL","total_seqs","tissues"
"1","Helicolenus avius",1,0,0,1,0
"2","Hozukius emblemarius",1,0,0,1,0
"3","Sebastes aleutianus",4,3,0,7,6
"4","Sebastes alutus",4,14,0,18,9
"5","Sebastes atrovirens",1,0,0,1,0
"6","Sebastes auriculatus",3,9,0,12,3
"7","Sebastes aurora",1,6,0,7,3
"8","Sebastes babcocki",5,5,0,10,3
"9","Sebastes baramenuke",1,0,0,1,0
"10","Sebastes borealis",1,3,0,4,4
"11","Sebastes brevispinis",4,3,0,7,3
"12","Sebastes capensis",1,0,0,1,0
"13","Sebastes carnatus",1,1,2,4,4
"14","Sebastes caurinus",10,4,0,14,5
"15","Sebastes chlorostictus",1,2,0,3,3
"16","Sebastes chrysomelas",1,0,0,1,0
"17","Sebastes ciliatus",2,1,0,3,10
"18","Sebastes ciliatus_variabilis",0,0,7,7,0
"19","Sebastes constellatus",1,7,0,8,0
"20","Sebastes cortezi",1,0,0,1,0
"21","Sebastes crameri",6,9,0,15,4
"22","Sebastes crocotulus",0,1,2,3,4
"23","Sebastes dallii",1,2,0,3,0
"24","Sebastes diaconus",0,0,5,5,5
"25","Sebastes diploproa",5,4,0,9,3
"26","Sebastes elongatus",5,7,0,12,3
"27","Sebastes emphaeus",3,6,0,9,3
"28","Sebastes ensifer",1,2,0,3,0
"29","Sebastes entomelas",7,13,0,20,5
"30","Sebastes eos",1,0,0,1,0
"31","Sebastes exsul",1,0,0,1,0
"32","Sebastes fasciatus",1,0,0,1,0
"33","Sebastes flammeus",1,0,0,1,0
"34","Sebastes flavidus",8,9,0,17,5
"35","Sebastes gilli",1,1,0,2,0
"36","Sebastes glaucus",1,0,0,1,3
"37","Sebastes goodei",5,6,0,11,3
"38","Sebastes helvomaculatus",6,5,0,11,3
"39","Sebastes hopkinsi",1,2,0,3,0
"40","Sebastes hubbsi",1,0,0,1,0
"41","Sebastes inermis",1,0,0,1,0
"42","Sebastes iracundus",1,0,0,1,0
"43","Sebastes jordani",4,6,0,10,0
"44","Sebastes joyneri",1,0,0,1,0
"45","Sebastes kiyomatsui",1,0,0,1,0
"46","Sebastes lentiginosus",1,0,0,1,0
"47","Sebastes levis",1,0,0,1,0
"48","Sebastes macdonaldi",1,5,0,6,0
"49","Sebastes maliger",9,16,0,25,6
"50","Sebastes matsubarae",1,0,0,1,0
"51","Sebastes melanops",4,19,0,23,7
"52","Sebastes melanosema",1,0,0,1,0
"53","Sebastes melanostictus",2,7,0,9,5
"54","Sebastes melanostomus",3,6,0,9,3
"55","Sebastes mentella",1,0,0,1,0
"56","Sebastes miniatus",3,6,0,9,5
"57","Sebastes minor",1,0,0,1,0
"58","Sebastes moseri",1,2,0,3,2
"59","Sebastes mystinus",1,3,0,4,0
"60","Sebastes nebulosus",3,0,0,3,2
"61","Sebastes nigrocinctus",3,0,0,3,2
"62","Sebastes norvegicus",1,0,0,1,0
"63","Sebastes notius",1,0,0,1,0
"64","Sebastes oblongus",1,0,0,1,0
"65","Sebastes oculatus",1,0,0,1,0
"66","Sebastes ovalis",1,7,0,8,0
"67","Sebastes owstoni",1,0,0,1,0
"68","Sebastes pachycephalus",1,0,0,1,0
"69","Sebastes paucispinis",8,9,0,17,4
"70","Sebastes peduncularis",1,0,0,1,0
"71","Sebastes phillipsi",1,0,0,1,0
"72","Sebastes pinniger",6,5,0,11,4
"73","Sebastes polyspinis",3,9,5,17,7
"74","Sebastes proriger",5,4,0,9,4
"75","Sebastes rastrelliger",1,2,0,3,0
"76","Sebastes reedi",5,2,0,7,3
"77","Sebastes rosaceus",3,3,0,6,2
"78","Sebastes rosenblatti",1,3,0,4,0
"79","Sebastes ruberrimus",7,3,0,10,0
"80","Sebastes rubrivinctus",1,4,0,5,0
"81","Sebastes rufinanus",1,0,0,1,0
"82","Sebastes rufus",1,4,0,5,0
"83","Sebastes saxicola",6,4,0,10,3
"84","Sebastes schlegelii",1,0,0,1,0
"85","Sebastes scythropus",1,0,0,1,0
"86","Sebastes semicinctus",1,3,0,4,0
"87","Sebastes serranoides",1,0,1,2,3
"88","Sebastes serriceps",1,2,0,3,0
"89","Sebastes simulator",1,3,0,4,0
"90","Sebastes sinensis",1,0,0,1,0
"91","Sebastes spinorbis",1,0,0,1,0
"92","Sebastes steindachneri",1,0,0,1,0
"93","Sebastes taczanowskii",1,0,0,1,0
"94","Sebastes thompsoni",1,0,0,1,0
"95","Sebastes trivittatus",1,0,0,1,0
"96","Sebastes umbrosus",1,4,0,5,0
"97","Sebastes variabilis",3,0,0,3,8
"98","Sebastes variegatus",5,1,0,6,6
"99","Sebastes viviparus",1,0,0,1,0
"100","Sebastes vulpes",1,0,0,1,0
"101","Sebastes wilsoni",3,2,0,5,3
"102","Sebastes zacentrus",5,0,0,5,3
"103","Sebastiscus marmoratus",1,0,0,1,0
"104","Sebastolobus alascanus",6,2,0,8,0
"105","Sebastolobus macrochir",3,0,0,3,0
