"","species","all_even","nearshore_even","offshore_even","offshore_skew"
"1","Sebastes aleutianus",0.0564955549182679,NA,0.0784547988849064,0.11042600896861
"2","Sebastes alutus",0.0570691138514482,NA,0.0792512943050577,0.185911808669656
"3","Sebastes babcocki",0.0559219959850875,NA,0.0776583034647551,0.0364349775784753
"4","Sebastes borealis",0.0559219959850875,NA,0.0776583034647551,0.0728699551569507
"5","Sebastes brevispinis",0.0599369085173502,NA,0.0832337714058144,0.039050822122571
"6","Sebastes ciliatus",0.0550616575853169,NA,0.0764635603345281,0.0358744394618834
"7","Sebastes helvomaculatus",0.0570691138514482,NA,0.0792512943050577,0.0371823617339312
"8","Sebastes maliger",0.0579294522512188,0.206967213114754,NA,NA
"9","Sebastes melanops",0.0544880986521365,0.194672131147541,NA,NA
"10","Sebastes melanostictus",0.0527674218525954,NA,0.0732775786539227,0.171898355754858
"11","Sebastes nebulosus",0.052193862919415,0.186475409836066,NA,NA
"12","Sebastes nigrocinctus",0.0553484370519071,0.197745901639344,NA,NA
"13","Sebastes pinniger",0.0599369085173502,0.214139344262295,NA,NA
"14","Sebastes polyspinis",0.0516203039862346,NA,0.0716845878136201,0.168161434977578
"15","Sebastes proriger",0.0547748781187267,NA,0.0760653126244524,0.0356875934230194
"16","Sebastes variabilis",0.0564955549182679,NA,0.0784547988849064,0.0368086696562033
"17","Sebastes variegatus",0.0556352165184973,NA,0.0772600557546794,0.0362481315396114
"18","Sebastes zacentrus",0.0513335245196444,NA,0.0712863401035444,0.0334454409566517
